experiment,experiment_label,condition_id,condition_label,delay_family,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,train_steps,episode,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,507000,7000,3,90,-211.7943365573883,-185.22762608528137,2.3532704061932033,2.6566710472106934,2.1804895401000977,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,507000,7000,4,90,-195.08573746681213,-170.68429446220398,2.1676193051868013,2.4401443004608154,2.008906602859497,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,508000,8000,0,90,-154.44492888450623,-142.7756781578064,1.7160547653834024,1.166925072669983,1.0892786979675293,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,508000,8000,1,90,-151.32918620109558,-140.81873679161072,1.6814354022343954,1.0510449409484863,0.9609196782112122,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,508000,8000,2,90,-177.77291095256805,-164.0014306306839,1.975254566139645,1.3771480321884155,1.3235982656478882,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,508000,8000,3,90,-161.25299870967865,-148.54680836200714,1.7916999856630962,1.2706190347671509,1.1818689107894897,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,508000,8000,4,90,-173.38673663139343,-160.56096506118774,1.9265192959043715,1.2825771570205688,1.222840428352356,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,509000,9000,0,90,-198.8773719072342,-178.75265991687775,2.2097485767470464,2.0124711990356445,1.798439383506775,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,509000,9000,1,90,-178.04966294765472,-157.69108378887177,1.9783295883072747,2.035857915878296,1.590006947517395,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,509000,9000,2,90,-171.1640123128891,-151.29100358486176,1.901822359032101,1.9873008728027344,1.5291286706924438,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,509000,9000,3,90,-188.8153966665268,-169.3704422712326,2.0979488518502976,1.944495439529419,1.709531545639038,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,509000,9000,4,90,-164.19990587234497,-147.22277450561523,1.8244433985816109,1.6977131366729736,1.4121129512786865,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,510000,10000,0,90,-204.67042207717896,-183.12053442001343,2.274115800857544,2.1549887657165527,2.072681188583374,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,510000,10000,1,90,-203.5606746673584,-183.12123823165894,2.26178527408176,2.0439436435699463,1.998157262802124,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,510000,10000,2,90,-191.39828753471375,-170.86975646018982,2.126647639274597,2.0528531074523926,1.9188475608825684,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,510000,10000,3,90,-195.10147964954376,-175.7704976797104,2.167794218328264,1.9330981969833374,1.889048457145691,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,510000,10000,4,90,-181.17832028865814,-159.01024901866913,2.0130924476517573,2.2168071269989014,1.6235780715942383,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,501000,1000,0,90,-170.09837436676025,-155.6185691356659,1.8899819374084472,1.447980523109436,1.447980523109436,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,501000,1000,1,90,-149.14062762260437,-137.73274683952332,1.6571180846956042,1.1407880783081055,1.1407880783081055,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,501000,1000,2,90,-158.87440967559814,-145.76720643043518,1.7652712186177573,1.3107203245162964,1.3107203245162964,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,501000,1000,3,90,-150.9404535293579,-138.93271398544312,1.677116150326199,1.2007739543914795,1.2007739543914795,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,501000,1000,4,90,-135.27782464027405,-124.72456002235413,1.5030869404474894,1.0553264617919922,1.0553264617919922,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,502000,2000,0,90,-179.2479773759842,-159.08751928806305,1.991644193066491,2.0160458087921143,1.6585780382156372,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,502000,2000,1,90,-189.85422921180725,-168.84744477272034,2.1094914356867474,2.1006784439086914,1.77021324634552,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,502000,2000,2,90,-174.16341090202332,-153.15876746177673,1.9351490100224813,2.100464344024658,1.617339015007019,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,502000,2000,3,90,-151.2324903011322,-134.3571457862854,1.6803610033459133,1.6875344514846802,1.3086715936660767,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,502000,2000,4,90,-165.99102771282196,-145.8897498846054,1.8443447523646885,2.0101277828216553,1.5167580842971802,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,503000,3000,0,90,-140.18030840158463,-130.64038771390915,1.5575589822398292,0.9539920687675476,0.9332178235054016,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,503000,3000,1,90,-139.88815885782242,-130.29516738653183,1.554312876198027,0.9592991471290588,0.9409695267677307,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,503000,3000,2,90,-139.44999408721924,-129.38102912902832,1.5494443787468803,1.0068964958190918,0.9166179895401001,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,503000,3000,3,90,-139.77467370033264,-132.78498542308807,1.553051930003696,0.6989688277244568,0.6989688277244568,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,503000,3000,4,90,-125.96056851744652,-121.62853601574898,1.3995618724160723,0.43320325016975403,0.43320325016975403,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,504000,4000,0,90,-193.47077333927155,-167.38625967502594,2.1496752593252393,2.6084513664245605,1.7119240760803223,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,504000,4000,1,90,-172.79333543777466,-147.2664351463318,1.9199259493086074,2.552690029144287,1.3696500062942505,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,504000,4000,2,90,-195.0027197599411,-169.03220117092133,2.1666968862215676,2.5970518589019775,1.7374719381332397,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,504000,4000,3,90,-191.71490716934204,-164.72253608703613,2.1301656352149116,2.699237108230591,1.613832712173462,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,504000,4000,4,90,-199.1845372915268,-173.0615142583847,2.213161525461409,2.612302303314209,1.7742304801940918,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,505000,5000,0,90,-226.95162427425385,-190.99028480052948,2.521684714158376,3.5961339473724365,1.9118480682373047,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,505000,5000,1,90,-257.18584418296814,-215.27929186820984,2.8576204909218683,4.19065523147583,2.096872091293335,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,505000,5000,2,90,-245.02097404003143,-204.7007588148117,2.7224552671114606,4.032021522521973,1.9678606986999512,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,505000,5000,3,90,-243.29959893226624,-206.24920392036438,2.7033288770251804,3.7050395011901855,2.1602649688720703,0.0
