experiment,experiment_label,condition_id,condition_label,delay_family,variant,variant_label,delay_label,train_steps,metric,iqm,q1,q3,n
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",7000,true_return,-102.42937038342158,-105.41729986667633,-98.613132417202,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",8000,true_return,-135.58509421348572,-148.60797560214996,-128.86997961997986,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",9000,true_return,-83.17729985713959,-91.01965373754501,-69.0169130563736,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",10000,true_return,-72.52038525541623,-74.07255747914314,-70.58364471793175,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",1000,true_return,-123.16015323003133,-126.33895015716553,-117.86749243736267,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",2000,true_return,-108.21986758708954,-110.50518822669983,-105.20001995563507,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",3000,true_return,-105.80990678071976,-113.60773926973343,-97.45766192674637,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",4000,true_return,-98.41447869936626,-102.96973317861557,-91.7473316192627,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",5000,true_return,-98.33890235424042,-100.74692630767822,-93.60411250591278,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",6000,true_return,-76.47565038005511,-78.63912308216095,-72.35624104738235,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",7000,true_return,-97.01761901378632,-98.08899858593941,-95.73150816559792,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",8000,true_return,-121.52000073591869,-127.72852849960327,-117.20075905323029,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",9000,true_return,-123.73807452122371,-128.28516572713852,-121.00924652814865,5
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",10000,true_return,-73.80239363511403,-76.85914987325668,-71.64041352272034,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",1000,true_return,-182.0100073814392,-188.33016109466553,-175.35675013065338,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",2000,true_return,-204.0020316441854,-223.82123446464539,-192.8570203781128,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",3000,true_return,-161.984712322553,-179.31182527542114,-151.0989397764206,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",4000,true_return,-191.36716457208,-198.63968968391418,-181.6907731294632,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",5000,true_return,-138.41991344094276,-152.9744577407837,-129.41298925876617,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",6000,true_return,-120.20073828101158,-121.52630773186684,-119.44415467977524,5
