experiment,experiment_label,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,train_steps,episode,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,516000,6000,3,90,-201.88996815681458,-175.38560891151428,2.243221868409051,2.6504359245300293,2.082247495651245,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,516000,6000,4,90,-209.83034110069275,-181.21140933036804,2.3314482344521417,2.8618931770324707,2.1065988540649414,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,501000,1000,0,90,-209.05554103851318,-185.35329866409302,2.3228393448723685,2.3702242374420166,2.271282196044922,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,501000,1000,1,90,-189.7712757587433,-168.8201620578766,2.1085697306527034,2.09511137008667,2.087207078933716,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,501000,1000,2,90,-199.0567946434021,-176.49441957473755,2.2117421627044678,2.256237506866455,2.1426970958709717,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,501000,1000,3,90,-191.23492312431335,-169.73141503334045,2.1248324791590374,2.15035080909729,2.0568718910217285,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,501000,1000,4,90,-176.03032672405243,-155.91912829875946,1.955892519156138,2.011119842529297,1.8988960981369019,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,502000,2000,0,90,-213.7320055961609,-189.0378656387329,2.3748000621795655,2.469413995742798,2.277336835861206,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,502000,2000,1,90,-224.8035216331482,-199.17488813400269,2.49781690703498,2.562863349914551,2.4147934913635254,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,502000,2000,2,90,-203.5514633655548,-180.00814366340637,2.2616829262839424,2.3543319702148438,2.1623497009277344,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,502000,2000,3,90,-187.37611782550812,-165.6224752664566,2.081956864727868,2.1753642559051514,1.9903990030288696,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,502000,2000,4,90,-196.649986743927,-173.7380232810974,2.1849998527103,2.291196346282959,2.0789990425109863,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,503000,3000,0,90,-181.9996953010559,-162.2270703315735,2.022218836678399,1.9772624969482422,1.9581634998321533,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,503000,3000,1,90,-178.10236763954163,-158.88321232795715,1.978915195994907,1.9219155311584473,1.9214922189712524,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,503000,3000,2,90,-173.76597356796265,-155.5639727115631,1.9307330396440294,1.8202000856399536,1.8202000856399536,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,503000,3000,3,90,-184.5427895784378,-164.73344814777374,2.05047543976042,1.9809341430664062,1.9809341430664062,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,503000,3000,4,90,-175.38767683506012,-156.45649182796478,1.9487519648340013,1.8931185007095337,1.888373613357544,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,504000,4000,0,90,-186.59216260910034,-165.60912704467773,2.073246251212226,2.0983035564422607,2.0435900688171387,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,504000,4000,1,90,-163.2534497976303,-144.11287128925323,1.81392721997367,1.9140578508377075,1.7284796237945557,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,504000,4000,2,90,-192.68794679641724,-170.59564018249512,2.1409771866268583,2.209230661392212,2.085075855255127,0.0
