condition_id,condition_label,delay_family,variant,variant_label,delay_label,train_steps,metric,iqm,q1,q3,n
stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",320,mean_distance,0.2641435720294727,0.264026434851607,0.26426070920733846,2
stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",640,mean_distance,0.29438394585319544,0.285962208110881,0.30280568359550986,2
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",0,success,0.0,0.0,0.0,2
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",320,success,0.0,0.0,0.0,2
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",640,success,0.0,0.0,0.0,2
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",0,success,0.0,0.0,0.0,2
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",320,success,0.0,0.0,0.0,2
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",640,success,0.0,0.0,0.0,2
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",0,success,0.0,0.0,0.0,2
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",320,success,0.0,0.0,0.0,2
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",640,success,0.0,0.0,0.0,2
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",0,success,0.0,0.0,0.0,2
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",320,success,0.0,0.0,0.0,2
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",640,success,0.0,0.0,0.0,2
constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",0,success,0.0,0.0,0.0,2
constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",320,success,0.0,0.0,0.0,2
constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",640,success,0.0,0.0,0.0,2
constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",0,success,0.0,0.0,0.0,2
constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",320,success,0.0,0.0,0.0,2
constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",640,success,0.0,0.0,0.0,2
constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",0,success,0.0,0.0,0.0,2
constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",320,success,0.0,0.0,0.0,2
constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",640,success,0.0,0.0,0.0,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",0,success,1.0,1.0,1.0,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",320,success,1.0,1.0,1.0,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",640,success,1.0,1.0,1.0,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",0,success,1.0,1.0,1.0,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",320,success,1.0,1.0,1.0,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",640,success,1.0,1.0,1.0,2
stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",0,success,1.0,1.0,1.0,2
stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",320,success,1.0,1.0,1.0,2
stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",640,success,1.0,1.0,1.0,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",0,success,1.0,1.0,1.0,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",320,success,1.0,1.0,1.0,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",640,success,1.0,1.0,1.0,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",0,success,1.0,1.0,1.0,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",320,success,1.0,1.0,1.0,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",640,success,1.0,1.0,1.0,2
stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",0,success,1.0,1.0,1.0,2
stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",320,success,1.0,1.0,1.0,2
stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",640,success,1.0,1.0,1.0,2
