metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
full_l2,11,on,133.2458,34.0644,300.6986,81
full_l2,12,on,155.2253,36.3198,323.3033,79
full_l2,13,on,177.6046,44.6077,335.8056,77
full_l2,14,on,201.2480,66.1360,339.0956,75
full_l2,15,on,225.7865,79.9474,370.6325,73
full_l2,16,on,251.2071,89.7684,383.2013,71
full_l2,17,on,278.9845,101.3098,391.1867,69
full_l2,18,on,305.9633,142.7400,394.9176,67
full_l2,19,on,328.7165,231.5090,396.9719,65
full_l2,20,on,346.4342,242.1016,401.1433,63
full_l2,21,on,365.2246,283.5898,401.1072,61
full_l2,22,on,373.1904,311.9979,405.2395,59
full_l2,23,on,387.6190,338.1033,407.9476,57
full_l2,24,on,399.9436,383.4162,409.3132,55
